1	2	1769	10
2	1	2155	18
3	0	806	21
4	0	2419	2
5	0	2745	9
6	2	792	32
7	2	1466	11
8	2	1910	15
9	2	2401	11
10	1	1924	5
11	1	2311	18
12	0	2013	7
13	2	2892	13
14	1	2933	5
15	0	2897	2
16	0	2917	9
17	1	1489	25
18	2	1787	10
19	0	1841	2
20	0	2858	24
21	0	2860	14
22	2	898	1
23	2	2979	11
24	1	1213	5
25	0	2358	34
26	1	1488	33
27	1	2960	8
28	2	2570	32
29	0	585	17
30	2	1293	15
31	2	1886	13
32	0	1133	21
33	0	889	21
34	1	1660	33
35	0	2865	24
36	2	1547	4
37	1	901	3
38	0	2092	34
39	2	1331	1
40	2	717	15
41	2	1876	11
42	2	1417	11
43	1	1053	19
44	2	676	1
45	2	2918	11
46	0	2274	17
47	0	1361	24
48	1	1368	8
49	1	1084	6
50	0	2048	31
51	0	1418	17
52	0	1755	31
53	1	955	5
54	2	1699	10
55	0	2199	9
56	2	1814	11
57	2	1732	13
58	0	1912	28
59	0	1925	2
60	1	2056	6
61	2	597	4
62	0	1835	24
63	1	1202	33
64	2	1989	15
65	2	2855	4
66	1	963	25
67	0	2963	7
68	1	1352	30
69	2	626	15
70	0	1814	2
71	0	2633	7
72	0	1959	27
73	0	909	2
74	1	2938	25
75	1	320	23
76	1	1075	33
77	2	1775	32
78	0	780	9
79	0	1861	14
80	1	400	5
81	1	845	30
82	2	1615	15
83	0	1463	24
84	1	1046	23
85	1	1762	23
86	0	2809	34
87	0	302	17
88	0	1072	24
89	0	1333	9
90	0	2709	9
91	0	1555	17
92	1	869	5
93	0	2187	14
94	0	1008	24
95	0	1725	7
96	2	1489	4
97	2	965	4
98	2	2815	15
99	2	2692	29
100	1	920	25
101	1	1715	5
102	2	2009	13
103	0	760	2
104	1	1280	8
105	0	804	31
106	2	2054	11
107	2	403	20
108	0	2728	17
109	2	1407	13
110	0	702	21
111	2	715	4
112	0	1990	27
113	1	441	33
114	2	2634	10
115	0	1212	17
116	2	338	4
117	1	2523	5
118	0	2365	2
119	0	639	17
120	0	1078	22
121	0	690	28
122	0	731	14
123	0	1769	17
124	2	2990	11
125	1	2404	23
126	0	1434	24
127	0	1270	17
128	0	2577	9
129	2	2470	13
130	0	639	24
131	2	405	29
132	1	483	5
133	1	2582	18
134	1	1761	18
135	2	1701	10
136	1	2908	6
137	0	1733	2
138	1	981	33
139	1	381	6
140	0	1038	31
141	2	654	32
142	1	2346	5
143	2	2401	29
144	1	961	8
145	0	361	31
146	1	1512	30
147	1	1753	8
148	0	606	22
149	1	2838	23
150	1	685	33
151	2	327	1
152	2	2156	29
153	0	1200	21
154	1	1630	30
155	0	733	31
156	2	616	10
157	1	2411	30
158	0	1686	34
159	2	719	32
160	1	1681	0
161	2	2209	1
162	1	2409	6
163	2	2465	1
164	2	1960	20
165	1	2354	6
166	1	2350	30
167	0	1854	22
168	2	2299	4
169	2	1667	10
170	2	2740	29
171	1	854	18
172	2	1766	10
173	0	2121	2
174	1	1318	25
175	0	2721	17
176	0	990	7
177	2	2738	29
178	1	1317	19
179	2	2436	1
180	0	531	34
181	1	1388	5
182	1	2334	25
183	2	2526	13
184	0	2862	27
185	1	1973	23
186	2	2994	32
187	2	837	29
188	0	316	7
189	1	2817	5
190	2	656	1
191	0	618	17
192	0	1910	7
193	1	1240	0
194	2	775	11
195	0	2173	21
196	0	2089	21
197	2	2572	29
198	2	2477	29
199	1	1100	6
200	0	2512	31
201	2	1050	11
202	0	2670	21
203	0	736	34
204	1	2472	3
205	2	793	29
206	0	821	17
207	2	548	10
208	1	2410	3
209	0	2023	14
210	0	1525	9
211	1	1147	18
212	2	1976	13
213	1	646	19
214	1	2084	8
215	1	750	19
216	1	1019	6
217	2	2885	29
218	0	1482	21
219	0	2230	9
220	1	2244	25
221	2	1882	11
222	0	1460	22
223	0	2592	27
224	0	814	14
225	0	2005	21
226	1	2636	30
227	2	1796	29
228	0	1756	9
229	1	1994	5
230	0	609	24
231	0	2514	9
232	1	358	25
233	1	1912	19
234	1	2210	6
235	2	725	13
236	0	648	9
237	0	2504	28
238	2	1137	11
239	0	1359	34
240	2	2193	1
241	2	2164	32
242	1	2118	33
243	1	1031	18
244	0	1950	7
245	2	1257	13
246	0	2103	17
247	2	2509	11
248	0	2356	22
249	1	2829	0
250	1	456	6
251	0	2584	14
252	0	2692	2
253	1	1941	8
254	1	2623	5
255	2	2552	11
256	1	733	5
257	2	2204	29
258	2	358	20
259	1	2054	18
260	2	882	20
261	0	2554	14
262	2	1182	10
263	2	2226	32
264	0	1896	27
265	0	2103	21
266	0	573	27
267	0	354	17
268	0	950	17
269	2	497	4
270	1	2757	8
271	0	1520	7
272	1	1352	18
273	0	1370	7
274	2	2306	29
275	0	408	17
276	2	2034	20
277	0	885	21
278	1	1873	30
279	1	1651	33
280	1	2749	30
281	0	2623	9
282	0	857	24
283	2	2543	1
284	2	1221	29
285	1	1914	30
286	0	1473	17
287	1	331	25
288	2	393	10
289	0	1718	28
290	1	659	25
291	2	498	20
292	0	790	27
293	0	2417	21
294	1	1903	33
295	1	845	19
296	1	1047	5
297	1	2781	5
298	2	700	11
299	1	856	19
300	1	746	24
